Timestamp,Which Region do you belong to?,How old are you? (years completed),What is your gender?,What is your height? (in cm),What is your weight? (in Kg),How many times do you eat in a day ?,How many days in a week do you eat fruits?,How many days in a week do you eat meat?,How many days in a week do you eat dairy products?,How many days in a week do you eat sweets?,How many days in a week do you eat fast food?,How many days in a week do you skip breakfast?,How many days in a week do you consume alcoholic beverages?,Most frequent source of your main meal ?,What is your gender?
12/15/2020 23:34:28,Asia,26,,175,63,4,7,0,7,2,2,1,0,Home cooked,Male
12/18/2020 0:04:43,Asia,26,,174,63,4,7,0,7,3,2,1,0,Home cooked,Male
12/18/2020 0:04:53,Asia,26,,174,63,4,7,0,7,3,2,1,0,Home cooked,Male
12/18/2020 12:21:37,Asia,33,,155,80,2,4,3,7,7,4,0,0,Home cooked,Male
12/18/2020 12:23:40,Asia,36,,183,80,3,7,3,7,7,0,0,0,Home cooked,Male
12/18/2020 12:27:36,Europe,28,,182,64,2,3,1,1,1,1,3,0,Home cooked,Male
12/18/2020 13:01:29,Asia,25,,177.8,85,3,3,5,5,2,6,2,0,Home cooked,Male
12/18/2020 14:11:24,Asia,28,,155,65,2,5,5,7,7,5,1,0,Pre-cooked/microwave,Female
12/18/2020 15:49:08,Europe,27,,170,62,2,6,2,7,1,0,2,0,Pre-cooked/microwave,Prefer not to say
12/18/2020 16:02:22,Asia,23,,182,82,2,1,4,3,7,1,7,0,Home cooked,Male
12/18/2020 19:01:07,Asia,26,,169,74,3,5,4,3,0,2,4,0,Home cooked,Male
12/18/2020 21:01:46,Asia,28,,153,58,3,5,2,7,0,0,1,0,Home cooked,Female
12/18/2020 21:15:05,Europe,22,,180,80,3,7,5,7,0,0,0,1,Home cooked,Male
12/18/2020 21:34:31,Europe,27,,157,52,3,2,1,5,5,4,3,0,Home cooked,Female
12/18/2020 21:58:52,Asia,26,,153,51,4,4,4,3,1,0.5,2,0,Home cooked,Female
12/18/2020 22:02:50,Asia,24,,182,63,3,7,5,4,3,0,0,0,Home cooked,Male
12/18/2020 23:59:49,Asia,27,,172,57,3,0,5,6,2,2,7,3,Home cooked,Male
12/19/2020 10:34:18,Asia,25,,165,65,2,7,7,7,3,0,0,1,Home cooked,Female
12/19/2020 11:00:30,Europe,27,,187,90,6 or more,4,1,7,4,2,2,0,Home cooked,Male
12/19/2020 11:08:48,Asia,25,,175,78,2,1,0,7,5,3,5,2,Home cooked,Male
12/19/2020 11:08:49,Asia,19,,180,75,2,2,0,7,2,2,7,0,Home cooked,Male
12/19/2020 11:09:25,Asia,25,,165,80,3,2,0,1,1,0,2,0,Home cooked,Female
12/19/2020 11:10:06,Asia,26,,178,78,4,3,4,5,2,1,0,0,Eggs,Male
12/19/2020 11:13:23,Asia,25,,168,48,3,3,0,2,0,2,0,0,Home cooked,Female
12/19/2020 11:13:26,Europe,34,,183,86,3,3,4,3,2,1,4,3,Home cooked,Male
12/19/2020 11:15:58,Asia,25,,180,64,3,2,1,4,4,4,2,0,Home cooked,Male
12/19/2020 11:16:57,Asia,24,,173.7,65,3,0,3,1,2,0,0,0,Home cooked,Male
12/19/2020 11:17:30,Asia,29,,180,84,3,4,5,7,3,4,3,0,Home cooked,Male
12/19/2020 11:17:59,Asia,26,,170,78,4,3,0,7,2,2,0,0,Home cooked,Male
12/19/2020 11:19:44,Asia,42,,170.69,68,3,4,0.5,6,3,2,2,0.25,Home cooked,Male
12/19/2020 11:20:12,Asia,27,,164,92,4,2,3,7,1,5,0,1,Home cooked,Male
12/19/2020 11:20:34,Asia,26,,163,72,3,4,2,4,3,0,3,0,Home cooked,Male
12/19/2020 11:21:34,Asia,25,,165,56,3,4,2,7,3,1,0,1,Pre-cooked/microwave,Female
12/19/2020 11:21:36,Asia,25,,171,71,2,3,1,6,1,1,0,1,Home cooked,Male
12/19/2020 11:22:05,Europe,20,,185,60,3,7,6,5,7,1,0,1,Home cooked,Male
12/19/2020 11:22:29,Asia,25,,175,60,3,2,0,7,1,2,1,0,Home cooked,Male
12/19/2020 11:23:06,Asia,24,,178,85,3,4,3,2,1,2,1,0,Home cooked,Male
12/19/2020 11:25:22,Asia,26,,183,88,3,7,0,7,7,1,3,0,Home cooked,Male
12/19/2020 11:25:39,Asia,27,,176,90,3,2,2,7,3,3,0,0,Home cooked,Male
12/19/2020 11:26:08,Asia,27,,183,82,2,0,0,7,3,0,7,4,Home cooked,Male
12/19/2020 11:26:18,Asia,24,,175.26,74,3,2,2,0,5,3,5,0,Home cooked,Male
12/19/2020 11:27:34,Asia,26,,160,50,4,1,3,5,0,1,0,0,Home cooked,Female
12/19/2020 11:29:12,Asia,26,,177,100,3,3,4,2,7,1,3,0,Home cooked,Male
12/19/2020 11:29:44,Other,26,,192,70,3,2,4,2,3,1,2,1,Home cooked,Male
12/19/2020 11:33:17,Asia,28,,170,75,3,7,6,4,2,1,1,0,Home cooked,Male
12/19/2020 11:33:39,Asia,28,,173,79,2,2,4,5,1,1,2,0,Home cooked,Male
12/19/2020 11:48:02,Asia,27,,183,62,2,2,1,5,7,2,4,5,Home cooked,Male
